Store_ID,Store_Name,Store_City,Store_Location,Store_Open_Date
28,Little Sprouts Toys Peoria 1,"Peoria, AZ",Downtown,19-02-2024
29,Mini Makers Miami 1,"Miami, FL",Commercial,03-07-1994
30,Bluebird Toys Naperville 1,"Naperville, IL",Residential,29-09-2017
31,Dinosaur Dreams Toys Glendale 1,"Glendale, AZ",Downtown,26-12-1998
32,Rainbow Toy Market Tallahassee 1,"Tallahassee, FL",Suburban,25-02-2014
33,Maple Street Toys Dayton 1,"Dayton, OH",Commercial,20-03-2008
34,Sunshine Toy Store Arlington 1,"Arlington, TX",Downtown,30-01-1995
35,Playtime Emporium Fort Worth 1,"Fort Worth, TX",Commercial,23-05-2011
36,Board Game Barn Minneapolis 1,"Minneapolis, MN",Downtown,18-11-1994
37,Toy Haven Port St. Lucie 1,"Port St. Lucie, FL",Downtown,23-04-2013
38,Wonderland Toys Oakland 1,"Oakland, CA",Downtown,13-08-2025
39,Wonderland Toys Jersey City 1,"Jersey City, NJ",Mall,06-03-1988
40,Puzzle Planet Fresno 1,"Fresno, CA",Downtown,04-01-2015
41,Classic Toy Chest Modesto 1,"Modesto, CA",Downtown,08-12-1990
42,Space Ranger Toys Philadelphia 1,"Philadelphia, PA",Suburban,13-08-2010
43,Creative Play Toys Irving 1,"Irving, TX",Commercial,13-03-2020
44,Classic Toy Chest Corpus Christi 1,"Corpus Christi, TX",Mall,17-07-1993
45,Kids Quest Toys Plano 1,"Plano, TX",Downtown,03-05-2004
46,Maple Street Toys San Francisco 1,"San Francisco, CA",Commercial,13-12-2005
47,Neighborhood Toy Co. Worcester 1,"Worcester, MA",Mall,17-03-2015
48,Spark & Play Austin 1,"Austin, TX",Suburban,01-06-1989
49,Wonderland Toys Eugene 1,"Eugene, OR",Commercial,22-03-2000
50,Mountain Trail Toys Kansas City 1,"Kansas City, MO",Mall,26-02-1996
51,Bright Star Toy Shop Birmingham 1,"Birmingham, AL",Downtown,15-02-2005
52,Toy Galaxy Madison 1,"Madison, WI",Commercial,30-06-1997
53,Sunshine Toy Store Laredo 1,"Laredo, TX",Downtown,20-05-1988
54,Sunshine Toy Store Tulsa 1,"Tulsa, OK",Mall,26-05-2023
55,Board Game Barn Toledo 1,"Toledo, OH",Downtown,03-04-2014
56,Board Game Barn Oklahoma City 1,"Oklahoma City, OK",Mall,09-03-1989
57,Bluebird Toys Norfolk 1,"Norfolk, VA",Mall,09-08-1995
58,Little Sprouts Toys Savannah 1,"Savannah, GA",Commercial,05-08-2006
59,Bright Star Toy Shop Little Rock 1,"Little Rock, AR",Mall,25-06-2025
60,Wonderland Toys Scottsdale 1,"Scottsdale, AZ",Downtown,05-02-1985
61,Rainbow Toy Market Baltimore 1,"Baltimore, MD",Downtown,04-03-2020
62,Mountain Trail Toys Baton Rouge 1,"Baton Rouge, LA",Commercial,23-12-2003
63,Dinosaur Dreams Toys Moreno Valley 1,"Moreno Valley, CA",Suburban,21-02-2020
64,Board Game Barn Yonkers 1,"Yonkers, NY",Airport,31-10-2006
65,Toy Galaxy Spokane 1,"Spokane, WA",Downtown,07-10-1994
66,Wonderland Toys Knoxville 1,"Knoxville, TN",Residential,28-04-2009
67,Wonderland Toys Huntington Beach 1,"Huntington Beach, CA",Mall,26-07-1987
68,Wonderland Toys Boulder 1,"Boulder, CO",Residential,23-07-2007
69,Bluebird Toys Amarillo 1,"Amarillo, TX",Mall,24-01-1992
70,Wonderland Toys Chandler 1,"Chandler, AZ",Suburban,05-08-1988
71,Neighborhood Toy Co. Rochester 1,"Rochester, NY",Downtown,11-09-2011
72,Playtime Emporium Boston 1,"Boston, MA",Airport,21-07-1995
73,Rainbow Toy Market Tampa 1,"Tampa, FL",Downtown,08-12-2024
74,Creative Play Toys Huntsville 1,"Huntsville, AL",Downtown,02-09-2011
75,Wonderland Toys Newport News 1,"Newport News, VA",Residential,22-10-2003
76,Giggles & Gadgets Mesa 1,"Mesa, AZ",Residential,14-06-2008
77,Happy Hippo Toys Buffalo 1,"Buffalo, NY",Suburban,01-03-1994
78,Giggles & Gadgets San Jose 1,"San Jose, CA",Airport,16-09-1995
79,Storybook Toys Grand Rapids 1,"Grand Rapids, MI",Commercial,17-02-2015
80,Spark & Play El Paso 1,"El Paso, TX",Commercial,09-03-1999
81,Bluebird Toys Salt Lake City 1,"Salt Lake City, UT",Mall,03-04-1988
82,Toy Haven Albuquerque 1,"Albuquerque, NM",Commercial,04-04-2010
83,Kids Quest Toys Winston-Salem 1,"Winston-Salem, NC",Downtown,25-07-1994
84,Puzzle Planet Ann Arbor 1,"Ann Arbor, MI",Downtown,28-08-2000
85,Cedar Toy Corner Montgomery 1,"Montgomery, AL",Downtown,17-12-1995
86,Maple Street Toys Des Moines 1,"Des Moines, IA",Commercial,28-08-2004
87,City Lights Toys Springfield 1,"Springfield, MO",Residential,28-07-1998
88,Mini Makers Syracuse 1,"Syracuse, NY",Suburban,16-03-2021
89,Spark & Play Omaha 1,"Omaha, NE",Residential,17-12-2014
90,City Lights Toys Columbia 1,"Columbia, SC",Residential,04-10-2014
91,Kids Quest Toys Fremont 1,"Fremont, CA",Suburban,10-01-1991
92,Storybook Toys Phoenix 1,"Phoenix, AZ",Downtown,20-10-1989
93,Space Ranger Toys Tempe 1,"Tempe, AZ",Residential,21-03-1997
94,Rocketship Toys Cleveland 1,"Cleveland, OH",Residential,11-03-2017
95,Happy Hippo Toys Durham 1,"Durham, NC",Downtown,14-06-2013
96,Neighborhood Toy Co. San Bernardino 1,"San Bernardino, CA",Downtown,01-12-2006
97,Storybook Toys Memphis 1,"Memphis, TN",Suburban,15-12-2022
98,Wonderland Toys Chesapeake 1,"Chesapeake, VA",Downtown,01-01-2004
99,City Lights Toys Stockton 1,"Stockton, CA",Downtown,28-02-1985
100,Happy Hippo Toys Atlanta 1,"Atlanta, GA",Mall,31-07-2013
101,Storybook Toys Fort Collins 1,"Fort Collins, CO",Downtown,27-10-2004
102,Board Game Barn Iowa City 1,"Iowa City, IA",Airport,28-02-2010
103,Toy Haven Akron 1,"Akron, OH",Downtown,12-08-2024
104,Dinosaur Dreams Toys Columbus 1,"Columbus, OH",Suburban,22-06-2009
105,Wonderland Toys Santa Clarita 1,"Santa Clarita, CA",Mall,17-02-2011
106,Board Game Barn St. Petersburg 1,"St. Petersburg, FL",Downtown,20-09-1990
107,Wonderland Toys Portland 1,"Portland, OR",Commercial,29-04-2025
108,Bluebird Toys Fort Lauderdale 1,"Fort Lauderdale, FL",Mall,11-08-2023
109,Wonderland Toys Lincoln 1,"Lincoln, NE",Mall,04-06-1994
110,Giggles & Gadgets Lubbock 1,"Lubbock, TX",Downtown,12-08-1989
111,Maple Street Toys Indianapolis 1,"Indianapolis, IN",Mall,29-08-2024
112,Neighborhood Toy Co. Cincinnati 1,"Cincinnati, OH",Commercial,03-11-2012
113,Space Ranger Toys Oceanside 1,"Oceanside, CA",Downtown,15-08-1995
114,Neighborhood Toy Co. Garland 1,"Garland, TX",Downtown,18-11-2020
115,Mountain Trail Toys Pittsburgh 1,"Pittsburgh, PA",Downtown,01-07-2003
116,Toy Haven New Orleans 1,"New Orleans, LA",Downtown,26-11-1999
117,Mountain Trail Toys Richmond 1,"Richmond, VA",Suburban,26-12-2020
118,Giggles & Gadgets St. Louis 1,"St. Louis, MO",Mall,15-05-2021
119,Adventure Toys Virginia Beach 1,"Virginia Beach, VA",Downtown,27-04-2020
120,Dinosaur Dreams Toys Aurora 1,"Aurora, CO",Downtown,15-02-2024
